Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU
Hope Creek/Salem,New Jersey,Dry/Wet,NPP,39.4678,-75.5381,3752,1078.17,79,5325,1605.75,9077,2683.92
Seabrook,New Hampshire,Dry/Wet,NPP,42.8989,-70.8508,960,439.52,30,727,332.55,1687,772.07
Fort Calhoun,Nebraska,Dry/Wet,NPP,41.5203,-96.077222,1264,465.98,40,0,0,1264,465.98
Cooper,Nebraska,Dry/Wet,NPP,40.3619,-95.6414,1830,329.17,30,1626,296.59,3456,625.76
Callaway,Missouri,Dry/Wet,NPP,38.761667,-91.78,1110,465.82,30,1083,461.94,2193,927.76
Grand Gulf,Mississippi,Dry/Wet,NPP,32.0072,-91.0478,2992,524.73,44,3260,591.65,6252,1116.38
Prairie Island,Minnesota,Dry/Wet,NPP,44.6217,-92.6331,2000,735.16,50,1087,412.92,3087,1148.08
Monticello,Minnesota,Dry/Wet,NPP,45.3336,-93.8492,1830,317.17,30,1052,183.98,2882,501.15
Palisades,Michigan,Dry/Wet,NPP,42.3228,-86.3144,1355,552.69,49,698,297.79,2053,850.48
Fermi,Michigan,Dry/Wet,NPP,41.9628,-83.2575,1564,273.96,23,2648,471.77,4212,745.73
D.C. Cook,Michigan,Dry/Wet,NPP,41.975556,-86.565278,1824,794.26,57,2688,1181.03,4512,1975.29
Pilgrim,Massachusetts,Dry/Wet,NPP,41.945,-70.5783,4116,734.82,62,0,0,4116,734.82
Calvert Cliffs,Maryland,Dry/Wet,NPP,38.4319,-76.4422,2846,1105.76,100,1411,570.8,4257,1676.56
Waterford,Louisiana,Dry/Wet,NPP,29.9953,-90.4711,992,415.14,31,1254,533.11,2246,948.25
River Bend,Louisiana,Dry/Wet,NPP,30.756667,-91.333333,2516,446.74,37,2056,369.1,4572,815.84
Wolf Creek,Kansas,Wet,NPP,38.2389,-95.6889,185,84.39,5,1827,838.63,2012,923.02
Duane Arnold,Iowa,Dry/Wet,NPP,42.1006,-91.7772,3648,662.64,60,0,0,3648,662.64
Zion,Illinois,Dry,NPP,42.4461,-87.8028,2226,1019.41,61,-,-,2226,1019.41
Quad Cities,Illinois,Dry/Wet,NPP,41.7264,-90.31,4692,831.74,69,6267,1108.26,10959,1940.00
La Salle,Illinois,Dry/Wet,NPP,41.2456,-88.6692,,,,,,,
Dresden,Illinois,Dry/Wet,NPP,41.3894,-88.2533,5365,940.8,78,5519,972.86,11884,1913.66
Clinton,Illinois,Wet,NPP,40.1722,-88.835,1602,291,18,2706,492.48,4308,783.48
Byron,Illinois,Dry/Wet,NPP,42.0742,-89.2819,1536,647.44,48,2555,1072.78,4091,1720.22
Braidwood,Illinois,Dry/Wet,NPP,41.2436,-88.2292,1312,552.14,41,2580,1083.41,3892,1635.55
Vogtle,Georgia,Dry/Wet,NPP,33.1433,-81.7606,1696,741.98,53,2255,956.23,3951,1698.21
Hatch,Georgia,Dry/Wet,NPP,31.9342,-82.3439,6392,1147.39,94,3863,702.64,10255,1850.03
Turkey Point,Florida,Dry/Wet,NPP,25.4342,-80.3306,1216,553.88,38,2220,1008.19,3436,1562.07
Saint Lucie,Florida,Dry/Wet,NPP,27.3486,-80.2464,1920,753.02,60,2434,944.89,4354,1697.91
Crystal River,Florida,Wet,NPP,28.9575,-82.5633,1243,582.24,39,0,0,1243,582.24
Millstone,Connecticut,Dry/Wet,NPP,41.3119,-72.1686,1568,643.58,49,2071,902.01,3639,1545.59
San Onofre,California,Wet,NPP,33.3689,-117.555,3855,1609.36,123,0,0,3855,1609.36
Diablo Canyon,California,Dry/Wet,NPP,35.2108,-120.8561,1856,809.13,58,2005,847.92,3861,1657.05
Arkansas Nuclear,Arkansas,Dry/Wet,NPP,35.3103,-93.2314,2752,1209.59,102,1336,609.57,4088,1819.16
Palo Verde,Arizona,Dry/Wet,NPP,33.4025,-112.8556,4314,1847.27,170,2511,1092.68,6825,2939.95
Farley,Alabama,Dry/Wet,NPP,31.2231,-85.1133,1824,811.82,57,1984,851.52,3808,1663.34
Browns Ferry,Alabama,Dry/Wet,NPP,34.7039,-87.1186,8667,1552.05,108,6483,1180.31,15150,2732.36
Lacrosse,Wisconsin,Dry,ISFSI,43.56,-91.2314,333,37.97,5,,,333,37.97
Trojan,Oregon,Dry,ISFSI,46.0383,-122.885,790,359.26,34,,,790,359.26
Big Rock Point,Michigan,Dry,ISFSI,45.3589,-85.1972441,441,57.91,7,,,441,57.91
Yankee Row,Massachusetts,Dry,ISFSI,42.7292,-72.9253,533,127.13,15,,,533,127.13
Maine Yankee,Maine,Dry,ISFSI,43.9506,-69.6958,1434,542.26,60,,,1434,542.26
Morris,Illinois,Wet,ISFSI,41.3897,-88.2681,,,,,,,
Haddam Neck,Connecticut,Dry,ISFSI,41.4822,-72.4983,1019,413.66,40,,,1019,413.66
Fort St. Vrain,Colorado,Dry,ISFSI,40.2456,-104.8775,,,,,,,
Rancho Seco,California,Dry,ISFSI,38.3453,-121.1217,493,228.38,21,,,493,228.38
Humboldt Bay,California,Dry,ISFSI,40.7411,-124.2089,390,28.94,5,,,390,28.94
Hanford Site,Washington,Dry/Wet,Government Facility/Multiple,46.6475,-119.5986,,,,,,,
Oak Ridge Reservation,Tennessee,Wet,Government Facility/Multiple,35.93,-84.31,,,,,,,
Sandia National Lab,New Mexico,Dry,Government Facility/Multiple,35.06,-105.5358,,,,,,,
Idaho National Lab,Idaho,Dry/Wet,Government Facility/Multiple,43.52,-112.5986,,,,,,,
